"","Region","Year","Gender","Name","Count"
"1","Total Belgium",1995,"Girls","Laura",1484
"2","Total Belgium",1995,"Girls","Sarah",914
"3","Total Belgium",1995,"Girls","Julie",865
"4","Total Belgium",1995,"Girls","Charlotte",773
"5","Total Belgium",1995,"Girls","Marie",726
"6","Total Belgium",1995,"Girls","Manon",539
"7","Total Belgium",1995,"Girls","Lisa",521
"8","Total Belgium",1995,"Girls","Céline",485
"9","Total Belgium",1995,"Girls","Pauline",460
"10","Total Belgium",1995,"Girls","Camille",423
"11","Total Belgium",1995,"Girls","Justine",407
"12","Total Belgium",1995,"Girls","Kelly",393
"13","Total Belgium",1995,"Girls","Jolien",377
"14","Total Belgium",1995,"Girls","Eline",375
"15","Total Belgium",1995,"Girls","Sophie",343
"16","Total Belgium",1995,"Girls","Ellen",342
"17","Total Belgium",1995,"Girls","Sofie",338
"18","Total Belgium",1995,"Girls","Melissa",336
"19","Total Belgium",1995,"Girls","Marine",332
"20","Total Belgium",1995,"Girls","Emilie",316
"21","Total Belgium",1995,"Girls","Elise",314
"22","Total Belgium",1995,"Girls","Louise",312
"23","Total Belgium",1995,"Girls","Anaïs",305
"24","Total Belgium",1995,"Girls","Sara",302
"25","Total Belgium",1995,"Girls","Aurélie",275
"26","Total Belgium",1995,"Girls","Caroline",270
"27","Total Belgium",1995,"Girls","Kimberly",270
"28","Total Belgium",1995,"Girls","Jana",262
"29","Total Belgium",1995,"Girls","Hanne",258
"30","Total Belgium",1995,"Girls","Kimberley",253
"31","Total Belgium",1995,"Girls","Eva",250
"32","Total Belgium",1995,"Girls","Emma",235
"33","Total Belgium",1995,"Girls","Lotte",232
"34","Total Belgium",1995,"Girls","Mathilde",232
"35","Total Belgium",1995,"Girls","Jessica",230
"36","Total Belgium",1995,"Girls","Amandine",221
"37","Total Belgium",1995,"Girls","Lore",220
"38","Total Belgium",1995,"Girls","Silke",217
"39","Total Belgium",1995,"Girls","Elodie",211
"40","Total Belgium",1995,"Girls","Elien",210
"41","Total Belgium",1995,"Girls","Astrid",200
"42","Total Belgium",1995,"Girls","Margot",197
"43","Total Belgium",1995,"Girls","Delphine",196
"44","Total Belgium",1995,"Girls","Mélanie",195
"45","Total Belgium",1995,"Girls","Nele",192
"46","Total Belgium",1995,"Girls","Stephanie",192
"47","Total Belgium",1995,"Girls","Morgane",187
"48","Total Belgium",1995,"Girls","Mégane",183
"49","Total Belgium",1995,"Girls","Lien",181
"50","Total Belgium",1995,"Girls","Nathalie",178
"51","Total Belgium",1995,"Girls","Noémie",173
"52","Total Belgium",1995,"Girls","Amber",170
"53","Total Belgium",1995,"Girls","Estelle",163
"54","Total Belgium",1995,"Girls","Joyce",163
"55","Total Belgium",1995,"Girls","Stéphanie",163
"56","Total Belgium",1995,"Girls","Lauren",161
"57","Total Belgium",1995,"Girls","Chloé",160
"58","Total Belgium",1995,"Girls","Jennifer",157
"59","Total Belgium",1995,"Girls","Alison",157
"60","Total Belgium",1995,"Girls","Axelle",156
"61","Total Belgium",1995,"Girls","Alexandra",154
"62","Total Belgium",1995,"Girls","Margaux",151
"63","Total Belgium",1995,"Girls","Florence",151
"64","Total Belgium",1995,"Girls","Audrey",151
"65","Total Belgium",1995,"Girls","Rani",151
"66","Total Belgium",1995,"Girls","Stefanie",151
"67","Total Belgium",1995,"Girls","Ine",148
"68","Total Belgium",1995,"Girls","Larissa",147
"69","Total Belgium",1995,"Girls","Fanny",146
"70","Total Belgium",1995,"Girls","Kim",144
"71","Total Belgium",1995,"Girls","Wendy",144
"72","Total Belgium",1995,"Girls","Lise",143
"73","Total Belgium",1995,"Girls","Annelies",143
"74","Total Belgium",1995,"Girls","Adeline",141
"75","Total Belgium",1995,"Girls","Cynthia",141
"76","Total Belgium",1995,"Girls","Elisa",140
"77","Total Belgium",1995,"Girls","Amélie",139
"78","Total Belgium",1995,"Girls","Michelle",139
"79","Total Belgium",1995,"Girls","Lynn",138
"80","Total Belgium",1995,"Girls","Tessa",138
"81","Total Belgium",1995,"Girls","Cindy",138
"82","Total Belgium",1995,"Girls","Alice",137
"83","Total Belgium",1995,"Girls","Femke",137
"84","Total Belgium",1995,"Girls","Elke",132
"85","Total Belgium",1995,"Girls","Emily",131
"86","Total Belgium",1995,"Girls","Mélissa",131
"87","Total Belgium",1995,"Girls","Shana",130
"88","Total Belgium",1995,"Girls","Evelien",129
"89","Total Belgium",1995,"Girls","Nina",126
"90","Total Belgium",1995,"Girls","Naomi",126
"91","Total Belgium",1995,"Girls","Aline",123
"92","Total Belgium",1995,"Girls","Victoria",122
"93","Total Belgium",1995,"Girls","Valentine",122
"94","Total Belgium",1995,"Girls","Océane",121
"95","Total Belgium",1995,"Girls","Clara",120
"96","Total Belgium",1995,"Girls","Laure",120
"97","Total Belgium",1995,"Girls","Shauni",120
"98","Total Belgium",1995,"Girls","Lara",119
"99","Total Belgium",1995,"Girls","Yasmine",119
"100","Total Belgium",1995,"Girls","Lindsay",118
"101","Total Belgium",1995,"Girls","Anke",117
"102","Total Belgium",1995,"Girls","Fien",115
"103","Total Belgium",1995,"Girls","Cassandra",115
"104","Total Belgium",1995,"Girls","Virginie",115
"105","Total Belgium",1995,"Girls","Alicia",114
"106","Total Belgium",1995,"Girls","Coralie",114
"107","Total Belgium",1995,"Girls","Tiffany",114
"108","Total Belgium",1995,"Girls","Charline",111
"109","Total Belgium",1995,"Girls","Tine",111
"110","Total Belgium",1995,"Girls","Jill",109
"111","Total Belgium",1995,"Girls","Gaëlle",109
"112","Total Belgium",1995,"Girls","Ophélie",108
"113","Total Belgium",1995,"Girls","Laurie",108
"114","Total Belgium",1995,"Girls","Hélène",107
"115","Total Belgium",1995,"Girls","Dorien",107
"116","Total Belgium",1995,"Girls","Aurore",106
"117","Total Belgium",1995,"Girls","Laetitia",106
"118","Total Belgium",1995,"Girls","Sharon",102
"119","Total Belgium",1995,"Girls","Joke",102
"120","Total Belgium",1995,"Girls","Katrien",101
"121","Total Belgium",1995,"Girls","Elisabeth",100
"122","Total Belgium",1995,"Girls","Iris",98
"123","Total Belgium",1995,"Girls","Anouk",97
"124","Total Belgium",1995,"Girls","Karen",97
"125","Total Belgium",1995,"Girls","Hannah",96
"126","Total Belgium",1995,"Girls","Claire",94
"127","Total Belgium",1995,"Girls","Celine",93
"128","Total Belgium",1995,"Girls","Maïté",93
"129","Total Belgium",1995,"Girls","Steffi",93
"130","Total Belgium",1995,"Girls","Isabelle",92
"131","Total Belgium",1995,"Girls","Maud",91
"132","Total Belgium",1995,"Girls","Valerie",91
"133","Total Belgium",1995,"Girls","Anne",90
"134","Total Belgium",1995,"Girls","Lucie",89
"135","Total Belgium",1995,"Girls","Imane",89
"136","Total Belgium",1995,"Girls","Britt",89
"137","Total Belgium",1995,"Girls","Olivia",88
"138","Total Belgium",1995,"Girls","Alexia",86
"139","Total Belgium",1995,"Girls","Kaat",86
"140","Total Belgium",1995,"Girls","Sabrina",86
"141","Total Belgium",1995,"Girls","Nora",83
"142","Total Belgium",1995,"Girls","Yasmina",83
"143","Total Belgium",1995,"Girls","Helena",82
"144","Total Belgium",1995,"Girls","Yousra",82
"145","Total Belgium",1995,"Girls","Vanessa",82
"146","Total Belgium",1995,"Girls","Laurence",82
"147","Total Belgium",1995,"Girls","Madison",82
"148","Total Belgium",1995,"Girls","Leen",81
"149","Total Belgium",1995,"Girls","Zoë",80
"150","Total Belgium",1995,"Girls","Celien",80
"151","Total Belgium",1995,"Girls","Sien",79
"152","Total Belgium",1995,"Girls","Maureen",79
"153","Total Belgium",1995,"Girls","Juliette",78
"154","Total Belgium",1995,"Girls","Vicky",78
"155","Total Belgium",1995,"Girls","Bieke",78
"156","Total Belgium",1995,"Girls","Emeline",77
"157","Total Belgium",1995,"Girls","Deborah",77
"158","Total Belgium",1995,"Girls","Liesbeth",76
"159","Total Belgium",1995,"Girls","Brenda",75
"160","Total Belgium",1995,"Girls","Romane",74
"161","Total Belgium",1995,"Girls","Laurien",74
"162","Total Belgium",1995,"Girls","Anna",73
"163","Total Belgium",1995,"Girls","Rachel",73
"164","Total Belgium",1995,"Girls","Lies",73
"165","Total Belgium",1995,"Girls","Claudia",73
"166","Total Belgium",1995,"Girls","Zoé",72
"167","Total Belgium",1995,"Girls","Jade",72
"168","Total Belgium",1995,"Girls","Esther",72
"169","Total Belgium",1995,"Girls","Rebecca",72
"170","Total Belgium",1995,"Girls","Tatiana",71
"171","Total Belgium",1995,"Girls","Bo",69
"172","Total Belgium",1995,"Girls","Anne-Sophie",69
"173","Total Belgium",1995,"Girls","Kirsten",69
"174","Total Belgium",1995,"Girls","Yana",68
"175","Total Belgium",1995,"Girls","Florine",68
"176","Total Belgium",1995,"Girls","Merve",68
"177","Total Belgium",1995,"Girls","Janne",67
"178","Total Belgium",1995,"Girls","Hannelore",67
"179","Total Belgium",1995,"Girls","Evi",67
"180","Total Belgium",1995,"Girls","Daphne",67
"181","Total Belgium",1995,"Girls","Anneleen",67
"182","Total Belgium",1995,"Girls","Valérie",66
"183","Total Belgium",1995,"Girls","Catherine",65
"184","Total Belgium",1995,"Girls","Natacha",65
"185","Total Belgium",1995,"Girls","Clémence",64
"186","Total Belgium",1995,"Girls","Anissa",64
"187","Total Belgium",1995,"Girls","Chloë",64
"188","Total Belgium",1995,"Girls","Ines",63
"189","Total Belgium",1995,"Girls","Barbara",63
"190","Total Belgium",1995,"Girls","Inès",62
"191","Total Belgium",1995,"Girls","Paulien",62
"192","Total Belgium",1995,"Girls","Kato",61
"193","Total Belgium",1995,"Girls","Célia",60
